"ID"	"feed"	"time"	"text1"	"text2"	"TAG"	"Nb_tag_detected"
3117022	"en_AUS_austra_int"	"2014-10-01 00:33:26"	"Hong Kong protesters vow to stay put"	"HONG KONG demonstrators have rejected demands to end rallies that have paralysed the city ahead of a national holiday."	"HKG"	1
3117502	"en_AUS_austra_int"	"2014-10-01 01:33:27"	"UK joins air strikes against jihadists"	"BRITISH warplanes have carried out their first raids against Islamic State, as the US launched multiple strikes against the jihadists in Iraq and Syria."	"GBR"	2
3117502	"en_AUS_austra_int"	"2014-10-01 01:33:27"	"UK joins air strikes against jihadists"	"BRITISH warplanes have carried out their first raids against Islamic State, as the US launched multiple strikes against the jihadists in Iraq and Syria."	"IRQ"	1
3117502	"en_AUS_austra_int"	"2014-10-01 01:33:27"	"UK joins air strikes against jihadists"	"BRITISH warplanes have carried out their first raids against Islamic State, as the US launched multiple strikes against the jihadists in Iraq and Syria."	"SYR"	1
3117502	"en_AUS_austra_int"	"2014-10-01 01:33:27"	"UK joins air strikes against jihadists"	"BRITISH warplanes have carried out their first raids against Islamic State, as the US launched multiple strikes against the jihadists in Iraq and Syria."	"USA"	1
3117503	"en_AUS_austra_int"	"2014-10-01 01:33:27"	"Secret Service lashed for Obama breach"	"THE head of the US Secret Service says an intrusion by a knife-wielding man at the White House was “unacceptable” and won’t occur again."	"USA"	3
3117504	"en_AUS_austra_int"	"2014-10-01 01:33:27"	"First case of Ebola diagnosed in US"	"THE US has diagnosed its first case of the deadly Ebola virus, a man who became infected in Liberia and travelled to Texas."	"LBR"	1
3117504	"en_AUS_austra_int"	"2014-10-01 01:33:27"	"First case of Ebola diagnosed in US"	"THE US has diagnosed its first case of the deadly Ebola virus, a man who became infected in Liberia and travelled to Texas."	"USA"	2
3117950	"en_AUS_austra_int"	"2014-10-01 02:33:27"	"Beheading suspect faces death penalty"	"A US man who allegedly beheaded a female co-worker has been charged with murder and will likely face the death penalty."	"USA"	1
3118301	"en_AUS_austra_int"	"2014-10-01 03:33:27"	"SBY to negate law on regional leaders"	"INDONESIA’S President will issue a decree overturning a controversial law that abolishes direct elections for regional leaders."	"IDN"	1
3118695	"en_AUS_austra_int"	"2014-10-01 04:33:27"	"Teen runaway ‘radicalised via internet’"	"CLASSMATES of a British schoolgirl who’s feared to have run away to join jihadists in Syria say she was “completely normal” before she disappeared."	"GBR"	1
3118695	"en_AUS_austra_int"	"2014-10-01 04:33:27"	"Teen runaway ‘radicalised via internet’"	"CLASSMATES of a British schoolgirl who’s feared to have run away to join jihadists in Syria say she was “completely normal” before she disappeared."	"SYR"	1
3118696	"en_AUS_austra_int"	"2014-10-01 04:33:27"	"Kim Jong-un’s pride before fall"	"THE first concrete explanation of the whereabouts of Kim Jong-un has emerged since his mystery disappearance four weeks ago."	"PRK"	1
3118697	"en_AUS_austra_int"	"2014-10-01 04:33:27"	"Teen a veteran of Hong Kong protests"	"AN activist of just 17 years old has emerged as the face of Hong Kong’s pro-democracy demonstrations."	"HKG"	1
3119919	"en_AUS_austra_int"	"2014-10-01 07:33:30"	"Islamic State near Turkish border"	"ISLAMIC State fighters are closing in on a Syrian town near Turkey’s border, as the US cautioned it “cannot bomb the militants into obscurity”."	"SYR"	1
3119919	"en_AUS_austra_int"	"2014-10-01 07:33:30"	"Islamic State near Turkish border"	"ISLAMIC State fighters are closing in on a Syrian town near Turkey’s border, as the US cautioned it “cannot bomb the militants into obscurity”."	"TUR"	2
3119919	"en_AUS_austra_int"	"2014-10-01 07:33:30"	"Islamic State near Turkish border"	"ISLAMIC State fighters are closing in on a Syrian town near Turkey’s border, as the US cautioned it “cannot bomb the militants into obscurity”."	"USA"	1
3120370	"en_AUS_austra_int"	"2014-10-01 08:33:30"	"Pigeons searched for ‘suspicious objects’"	"JITTERY Chinese authorities subjected 10,000 pigeons to bodychecks before releasing them over Beijing to mark a national holiday."	"CHN"	2
3120371	"en_AUS_austra_int"	"2014-10-01 08:33:30"	"35,000 walrus come ashore in NW Alaska"	"PACIFIC walrus looking for places to rest in the absence of sea ice, have come to shore in record numbers on a beach in northwest Alaska."	"USA"	1
3125876	"en_AUS_austra_int"	"2014-10-01 17:33:31"	"We cannot just blow them away: US"	"ISLAMIC State fighters are closing in on the key Syrian town of Kobane near the Turkish border, despite multiple US airstrikes."	"SYR"	1
3125876	"en_AUS_austra_int"	"2014-10-01 17:33:31"	"We cannot just blow them away: US"	"ISLAMIC State fighters are closing in on the key Syrian town of Kobane near the Turkish border, despite multiple US airstrikes."	"TUR"	1
3125876	"en_AUS_austra_int"	"2014-10-01 17:33:31"	"We cannot just blow them away: US"	"ISLAMIC State fighters are closing in on the key Syrian town of Kobane near the Turkish border, despite multiple US airstrikes."	"USA"	1
3125877	"en_AUS_austra_int"	"2014-10-01 17:33:31"	"Tunisian youth flock to Syria jihad"	"TUNISIAN youths disillusioned with the post-revolution era have flocked to join jihadists overseas."	"SYR"	1
3125877	"en_AUS_austra_int"	"2014-10-01 17:33:31"	"Tunisian youth flock to Syria jihad"	"TUNISIAN youths disillusioned with the post-revolution era have flocked to join jihadists overseas."	"TUN"	1
3125878	"en_AUS_austra_int"	"2014-10-01 17:33:31"	"Kurds look to sky for breakthrough"	"A TRUCK lies in a no-man’s-land between Kurdish fighters and jihadists, a stalemate the Kurds hope US-led airstrikes can break."	"USA"	1
3125879	"en_AUS_austra_int"	"2014-10-01 17:33:31"	"Bomb and stay: only way to fix havoc"	"BRITISH soldiers embarked for war a century ago confident they would be home for Christmas."	"GBR"	1
3125880	"en_AUS_austra_int"	"2014-10-01 17:33:31"	"Swedes take terror fight to sewers"	"THE war against terror has gone underground in Sweden, with ­sensors placed in the sewers beneath Stockholm."	"SWE"	3
3125881	"en_AUS_austra_int"	"2014-10-01 17:33:31"	"US Ebola case ‘will not spread’"	"THE first case of Ebola diagnosed in the US was confirmed yesterday in a patient who recently travelled from Liberia to Dallas."	"LBR"	1
3125881	"en_AUS_austra_int"	"2014-10-01 17:33:31"	"US Ebola case ‘will not spread’"	"THE first case of Ebola diagnosed in the US was confirmed yesterday in a patient who recently travelled from Liberia to Dallas."	"USA"	1
3125882	"en_AUS_austra_int"	"2014-10-01 17:33:31"	"Beijing aims to wait out protests"	"PROTESTS in Hong Kong continued to grow yesterday while the authorities adopted a less confrontational strategy."	"CHN"	1
3125882	"en_AUS_austra_int"	"2014-10-01 17:33:31"	"Beijing aims to wait out protests"	"PROTESTS in Hong Kong continued to grow yesterday while the authorities adopted a less confrontational strategy."	"HKG"	1
3125883	"en_AUS_austra_int"	"2014-10-01 17:33:31"	"Dissenters face uphill battle"	"TWO years ago, Hong Kong ­students won a fight against “patriotic education” in schools. Many of those ­students now block streets."	"HKG"	1
3125884	"en_AUS_austra_int"	"2014-10-01 17:33:31"	"SBY wilts under pressure of tweets"	"SUSILO Bambang Yudhoyono is seeking to retrieve his democratic legacy by issuing a special regulation."	"IDN"	1
3125885	"en_AUS_austra_int"	"2014-10-01 17:33:31"	"Boris wins Tory hearts"	"LONDON Mayor Boris Johnson stole the show at Britain’s Conservative Party conference with a joke-laden speech."	"GBR"	2
3130142	"en_AUS_austra_int"	"2014-10-02 00:33:32"	"HK protesters raise stakes in standoff"	"HONG KONG’s pro-democracy protesters have threatened to occupy key government buildings unless the territory’s top official resigns by the end of today."	"HKG"	1
3130143	"en_AUS_austra_int"	"2014-10-02 00:33:32"	"US Secret Service chief resigns"	"THE director of the US Secret Service has resigned following a breach when an armed intruder ran into the White House."	"USA"	2
3130570	"en_AUS_austra_int"	"2014-10-02 01:33:32"	"Battle rages for Syrian town"	"KURDISH fighters backed by US-led air strikes have been locked in fighting to prevent a Syrian border town falling to Islamic State jihadists."	"SYR"	1
3130570	"en_AUS_austra_int"	"2014-10-02 01:33:32"	"Battle rages for Syrian town"	"KURDISH fighters backed by US-led air strikes have been locked in fighting to prevent a Syrian border town falling to Islamic State jihadists."	"USA"	1
3130970	"en_AUS_austra_int"	"2014-10-02 02:33:32"	"US rebukes Israel over new construction"	"THE Obama administration has publicly warned that a new Jerusalem housing project would distance Israel from “even its closest allies.”"	"ISR"	2
3130970	"en_AUS_austra_int"	"2014-10-02 02:33:32"	"US rebukes Israel over new construction"	"THE Obama administration has publicly warned that a new Jerusalem housing project would distance Israel from “even its closest allies.”"	"USA"	2
3130971	"en_AUS_austra_int"	"2014-10-02 02:33:32"	"Hospital sent Liberia Ebola man home"	"AN Ebola patient told a Texas hospital he was from Liberia, but was sent home, doctors have acknowledged."	"LBR"	1
3130971	"en_AUS_austra_int"	"2014-10-02 02:33:32"	"Hospital sent Liberia Ebola man home"	"AN Ebola patient told a Texas hospital he was from Liberia, but was sent home, doctors have acknowledged."	"USA"	1
3131356	"en_AUS_austra_int"	"2014-10-02 03:33:32"	"Facebook apologises to drag queens"	"FACEBOOK has apologised to drag queens and the transgender community for deleting accounts under drag names rather than legal names."	""	NA
3131708	"en_AUS_austra_int"	"2014-10-02 04:33:32"	"Protesters swarm on HK leader’s office"	"MORE than 3000 protesters gathered outside Leung Chun-ying’s office early today, calling for the unpopular chief executive to step down."	""	NA
3132447	"en_AUS_austra_int"	"2014-10-02 06:33:33"	"Kurds fight jihadists with ageing weapons"	"NEW weapons being sent to Iraq’s Kurds by the US, Australia and other allies are yet to reach the frontline of the war against Islamic State."	"AUS"	1
3132447	"en_AUS_austra_int"	"2014-10-02 06:33:33"	"Kurds fight jihadists with ageing weapons"	"NEW weapons being sent to Iraq’s Kurds by the US, Australia and other allies are yet to reach the frontline of the war against Islamic State."	"IRQ"	1
3132447	"en_AUS_austra_int"	"2014-10-02 06:33:33"	"Kurds fight jihadists with ageing weapons"	"NEW weapons being sent to Iraq’s Kurds by the US, Australia and other allies are yet to reach the frontline of the war against Islamic State."	"USA"	1
3138379	"en_AUS_austra_int"	"2014-10-02 16:33:34"	"Turks to vote on military action"	"TURKEY is mulling whether to join the campaign against Islamic State amid reports the group is finding support in Jordan."	"JOR"	1
3138379	"en_AUS_austra_int"	"2014-10-02 16:33:34"	"Turks to vote on military action"	"TURKEY is mulling whether to join the campaign against Islamic State amid reports the group is finding support in Jordan."	"TUR"	2
3138380	"en_AUS_austra_int"	"2014-10-02 16:33:34"	"Kurds pray for US heavy weapons"	"THE Kurdish fighters leaned against antiquated cannons on a hill overlooking Mahmoudiyah, the ground littered with shrapnel."	"USA"	1
3138381	"en_AUS_austra_int"	"2014-10-02 16:33:34"	"China refuses to blink on HK"	"WEARY protesters have tried to force a showdown with the Hong Kong government, warning they will occupy government buildings."	"CHN"	1
3138381	"en_AUS_austra_int"	"2014-10-02 16:33:34"	"China refuses to blink on HK"	"WEARY protesters have tried to force a showdown with the Hong Kong government, warning they will occupy government buildings."	"HKG"	1
3138382	"en_AUS_austra_int"	"2014-10-02 16:33:34"	"Back off, Beijing tells US"	"THE US and China have clashed over the pro-democracy protests sweeping Hong Kong, with Beijing warning Washington to back off."	"CHN"	2
3138382	"en_AUS_austra_int"	"2014-10-02 16:33:34"	"Back off, Beijing tells US"	"THE US and China have clashed over the pro-democracy protests sweeping Hong Kong, with Beijing warning Washington to back off."	"HKG"	1
3138382	"en_AUS_austra_int"	"2014-10-02 16:33:34"	"Back off, Beijing tells US"	"THE US and China have clashed over the pro-democracy protests sweeping Hong Kong, with Beijing warning Washington to back off."	"USA"	2
3138383	"en_AUS_austra_int"	"2014-10-02 16:33:34"	"Obama, Bibi blow up over housing"	"BARACK Obama told Israeli PM Benjamin Netanyahu yesterday of his deep concerns over plans to build 2600 new settler homes."	"ISR"	2
3138383	"en_AUS_austra_int"	"2014-10-02 16:33:34"	"Obama, Bibi blow up over housing"	"BARACK Obama told Israeli PM Benjamin Netanyahu yesterday of his deep concerns over plans to build 2600 new settler homes."	"USA"	1
3138384	"en_AUS_austra_int"	"2014-10-02 16:33:34"	"Bombs kill 41 children in Syria"	"AT least 41 Syrian children aged under 12 were killed yesterday in a double bombing in the government-controlled city of Homs."	"SYR"	3
3138385	"en_AUS_austra_int"	"2014-10-02 16:33:34"	"Why jihadists are banned from Twitter"	"UNDER the pressure of escalating airstrikes, Islamic State jihadists have changed tactics to avoid being killed."	""	NA
3138386	"en_AUS_austra_int"	"2014-10-02 16:33:34"	"Militants threaten attacks in revenge"	"BRITISH jihadists in Syria have threatened to avenge UK airstrikes by mounting atrocities that match the 7/7 London bombings."	"GBR"	3
3138386	"en_AUS_austra_int"	"2014-10-02 16:33:34"	"Militants threaten attacks in revenge"	"BRITISH jihadists in Syria have threatened to avenge UK airstrikes by mounting atrocities that match the 7/7 London bombings."	"SYR"	1
3138387	"en_AUS_austra_int"	"2014-10-02 16:33:34"	"China’s emperor faces HK riddle"	"FROM the commanding heights of mighty Beijing, Hong Kong’s demonstrations for democracy must be alarming."	"CHN"	2
3138387	"en_AUS_austra_int"	"2014-10-02 16:33:34"	"China’s emperor faces HK riddle"	"FROM the commanding heights of mighty Beijing, Hong Kong’s demonstrations for democracy must be alarming."	"HKG"	1
3138388	"en_AUS_austra_int"	"2014-10-02 16:33:34"	"White House security chief quits"	"THE head of the US Secret Service has resigned after a series of stumbles called into question the security of the President."	"USA"	2
3142958	"en_AUS_austra_int"	"2014-10-02 23:33:35"	"Turkey sets up clash with jihadists"	"TURKEY’S parliament has approved launching military incursions into Syria and Iraq and allowing foreign forces to use its territory against Islamic State."	"IRQ"	1
3142958	"en_AUS_austra_int"	"2014-10-02 23:33:35"	"Turkey sets up clash with jihadists"	"TURKEY’S parliament has approved launching military incursions into Syria and Iraq and allowing foreign forces to use its territory against Islamic State."	"SYR"	1
3142958	"en_AUS_austra_int"	"2014-10-02 23:33:35"	"Turkey sets up clash with jihadists"	"TURKEY’S parliament has approved launching military incursions into Syria and Iraq and allowing foreign forces to use its territory against Islamic State."	"TUR"	1
3142959	"en_AUS_austra_int"	"2014-10-02 23:33:35"	"Hong Kong leader offers talks with protesters"	"HONG Kong’s defiant leader has refused pro-democracy protesters’ demands to quit and instead offered talks to defuse massive street demonstrations."	"HKG"	1
