"ID"	"feed"	"time"	"text1"	"text2"	"TAG"	"Nb_tag_detected"
3117023	"fr_FRA_lmonde_int"	"2014-10-01 00:34:08"	"Référendum : les Catalans critiquent le tribunal constitutionnel, mais attendent son verdict"	"Barcelone a décidé de suspendre l’organisation de son référendum d'indépendance, en attendant que le Conseil se prononce sur sa légalité."	"ESP"	2
3117505	"fr_FRA_lmonde_int"	"2014-10-01 01:34:09"	"Un premier cas d'Ebola diagnostiqué hors d'Afrique"	"Les Etats-Unis ont confirmé, mardi, la contamination d'un homme ayant voyagé au Liberia. Le patient est actuellement hospitalisé à Dallas."	"LBR"	1
3117505	"fr_FRA_lmonde_int"	"2014-10-01 01:34:09"	"Un premier cas d'Ebola diagnostiqué hors d'Afrique"	"Les Etats-Unis ont confirmé, mardi, la contamination d'un homme ayant voyagé au Liberia. Le patient est actuellement hospitalisé à Dallas."	"USA"	1
3117951	"fr_FRA_lmonde_int"	"2014-10-01 02:34:09"	"La Californie adopte une loi contre le piratage de photos intimes"	"Deux textes ayant pour but de renforcer la protection de la vie privée des célébrités ont été adoptés, mardi."	"USA"	1
3118709	"fr_FRA_lmonde_int"	"2014-10-01 04:34:10"	"Hongkong : les manifestants s'invitent aux cérémonies de la fête nationale"	"Le drapeau chinois a été hué par des manifestants, mercredi matin, lors des commémorations de la fondation de la République populaire de Chine."	"CHN"	3
3119154	"fr_FRA_lmonde_int"	"2014-10-01 05:34:11"	"Nouvelle faille dans le service de sécurité de Barack Obama"	"Un vigile armé est parvenu à prendre l'ascenseur avec le président américain, à la mi-septembre, ce qui est strictement interdit par son protocole de sécurité."	"USA"	2
3119920	"fr_FRA_lmonde_int"	"2014-10-01 07:34:12"	"Brésil : Dilma Rousseff en tête des sondages à cinq jours de la présidentielle"	"La présidente brésilienne affiche, mercredi, huit points d'avance sur sa rivale de l'opposition, Marina Silva."	"BRA"	3
3120903	"fr_FRA_lmonde_int"	"2014-10-01 09:34:13"	"Premier raid britannique contre l'Etat islamique"	"Ces frappes sont les premières depuis que le Royaume-Uni a rallié la coalition après l'adoption par le Parlement d'une motion autorisant le recours aux raids aériens en Irak."	"GBR"	2
3120903	"fr_FRA_lmonde_int"	"2014-10-01 09:34:13"	"Premier raid britannique contre l'Etat islamique"	"Ces frappes sont les premières depuis que le Royaume-Uni a rallié la coalition après l'adoption par le Parlement d'une motion autorisant le recours aux raids aériens en Irak."	"IRQ"	1
3121448	"fr_FRA_lmonde_int"	"2014-10-01 10:34:13"	"Mont Ontake au Japon : le bilan des victimes s'alourdit"	"Les militaires ont repris leurs recherches mercredi et découvert cinq nouveaux corps. Le bilan s'établit mercredi à quarante-huit morts."	"JPN"	1
