"ID"	"feed"	"time"	"text1"	"text2"	"TAG"	"Nb_tag_detected"
3116745	"es_MEX_univer_int"	"2014-10-01 00:18:11"	"Confirman primer caso de ébola en EU"	"Autoridades de un hospital en Dallas dicen que están siguiendo las recomendaciones de los CDC para proteger a los médicos, personal y pacientes"	""	NA
3117245	"es_MEX_univer_int"	"2014-10-01 01:18:12"	"Mujer desnuda en camión choca contra autobús escolar"	"Ninguno de los niños sufrió heridas graves, pero el conductor del camión y la mujer se encuentran en estado crítico; las autoridades aún no saben porqué la mujer estaba desnuda"	""	NA
3117696	"es_MEX_univer_int"	"2014-10-01 02:18:13"	"Llama EU a Rusia y rebeldes a cesar acción bélica en Ucrania"	"La portavoz del Departamento de Estado, Jennifer Psaki, indicó que el personal de la OSCE se encuentra en Ucrania monitoreando y verificando el cese al fuego; piden a Rusia ""permitirles hacer su trabajo"""	"RUS"	1
3117696	"es_MEX_univer_int"	"2014-10-01 02:18:13"	"Llama EU a Rusia y rebeldes a cesar acción bélica en Ucrania"	"La portavoz del Departamento de Estado, Jennifer Psaki, indicó que el personal de la OSCE se encuentra en Ucrania monitoreando y verificando el cese al fuego; piden a Rusia ""permitirles hacer su trabajo"""	"UKR"	2
3117697	"es_MEX_univer_int"	"2014-10-01 02:18:13"	"Director del CDC dice que EU debería poder contener ébola"	"Thomas Frieden, director de los Centros para el Control y Prevención de Enfermedades de EU, dijo que no duda que las autoridades sanitarias federales y locales podrán contener la posible propagación del virus en el país"	""	NA
3118127	"es_MEX_univer_int"	"2014-10-01 03:18:13"	"Obama sigue confiando en Servicio Secreto pese a intruso"	"A pesar de las recientes fallas en las medidas de seguridad para protegerlo a él y a su familia, el mandatario ""continúa teniendo confianza en los hombres y mujeres del Servicio Secreto para llevar a cabo su difícil trabajo"""	"USA"	1
3118128	"es_MEX_univer_int"	"2014-10-01 03:18:13"	"Cura de EU a juicio por pederastia en Honduras"	"Joseph Maurizio Jr., de 69 años, quedará preso hasta su juicio acusado de posesión de pornografía infantil y de haber viajado a Honduras para mantener relaciones sexuales con menores de edad durante viajes misioneros"	"HND"	1
3118908	"es_MEX_univer_int"	"2014-10-01 05:18:15"	"Surge nueva violación a la seguridad de Obama"	"El presidente Barack Obama subió a un elevador en septiembre con un contratista de seguridad armado que ya había sido declarado culpable de delitos penales en tres ocasiones"	"USA"	1
3120159	"es_MEX_univer_int"	"2014-10-01 08:18:18"	"California endurece leyes contra #39;porno de la venganza#39;"	"Las víctimas podrán pedir a la justicia civil una orden para que las fotografías comprometedoras sean retiradas con carácter inmediato de internet"	"USA"	1
3120160	"es_MEX_univer_int"	"2014-10-01 08:18:18"	"Kerry abordará con homólogo chino demandas en Hong Kong"	"Miles de estudiantes hongkoneses se manifiestan desde hace días para pedir que las próximas elecciones de 2017 sean abiertas"	"CHN"	1
3120160	"es_MEX_univer_int"	"2014-10-01 08:18:18"	"Kerry abordará con homólogo chino demandas en Hong Kong"	"Miles de estudiantes hongkoneses se manifiestan desde hace días para pedir que las próximas elecciones de 2017 sean abiertas"	"HKG"	2
3120161	"es_MEX_univer_int"	"2014-10-01 08:18:18"	"Japón: retoman operaciones de rescate en volcán Ontake"	"La capa de ceniza que recubre la cima del monte complica la movilidad y la visibilidad de los operarios de socorro"	""	NA
3120656	"es_MEX_univer_int"	"2014-10-01 09:18:19"	"Llegan príncipes Akishino y Kiko a Guatemala"	"El canciller de Guatemala encabezó la ceremonia de bienvenida de los príncipes de Japón"	"GTM"	1
3120657	"es_MEX_univer_int"	"2014-10-01 09:18:19"	"Doble atentado deja 7 soldados muertos en Afganistán"	"El Ministerio del Interior confirmó que el objetivo de los ataques, han sido unidades del ejército"	"AFG"	1
3120658	"es_MEX_univer_int"	"2014-10-01 09:18:19"	"Coalición bombardea posiciones del EI en Alepo"	"Por el momento, se desconoce si estos ataques han causado muertos o heridos en las filas del EI"	"SYR"	1
3120659	"es_MEX_univer_int"	"2014-10-01 09:18:19"	"Ucrania: comienzan clases en zonas controladas por prorrusos"	"Los combates entre los sublevados y las tropas ucranianas continúan junto al aeropuerto de Donetsk a pesar de la tregua decretada entre los dos bandos hace casi un mes"	"UKR"	4
3120660	"es_MEX_univer_int"	"2014-10-01 09:18:19"	"Tiroteo en frontera entre Tailandia y Camboya deja dos heridos"	"Los hechos ocurrieron cerca del puesto fronterizo de An Ses, ubicado en una zona en disputa entre ambos países"	"KHM"	1
3120660	"es_MEX_univer_int"	"2014-10-01 09:18:19"	"Tiroteo en frontera entre Tailandia y Camboya deja dos heridos"	"Los hechos ocurrieron cerca del puesto fronterizo de An Ses, ubicado en una zona en disputa entre ambos países"	"THA"	1
3121205	"es_MEX_univer_int"	"2014-10-01 10:18:20"	"Choque de trenes en India deja 14 muertos y 45 heridos"	"Los servicios ferroviarios de todo el norte de India se vieron afectados, y varios trenes fueron desviados"	"IND"	2
